N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,한온시스템,"10,200",50,-0.49%,100,"54,448","533,800",17.26,"560,201",20.20,13.83,
60,F&F,"142,000","1,000",-0.70%,100,"54,396","38,307",12.41,"76,322",15.11,N/A,
61,강원랜드,"24,800",50,-0.20%,500,"53,057","213,940",21.45,"313,422",217.54,-0.33,
62,LG유플러스,"12,150",200,-1.62%,"5,000","53,048","436,611",37.65,"417,277",7.73,9.47,
63,KODEX 200,"31,855",200,-0.62%,0,"51,557","161,850",5.02,"4,004,129",N/A,N/A,
64,맥쿼리인프라,"12,650",100,+0.80%,0,"51,213","404,846",13.81,"957,259",N/A,N/A,
65,SKC,"132,000","2,000",+1.54%,"5,000","49,986","37,868",14.78,"267,974",20.36,11.60,
66,한국항공우주,"50,800","1,600",+3.25%,"5,000","49,517","97,475",21.14,"1,701,993",56.01,5.19,
67,삼성중공업,"5,410",10,+0.19%,"1,000","47,608","880,000",15.14,"2,369,164",-4.01,-36.89,
68,코웨이,"63,900",400,+0.63%,500,"47,158","73,800",61.21,"138,061",9.93,27.41,
69,에스디바이오센서,"43,900",600,-1.35%,500,"45,336","103,271",10.84,"415,991",4.00,72.47,
70,현대건설,"39,750",550,+1.40%,"5,000","44,264","111,356",23.73,"460,312",10.67,5.89,
71,현대제철,"33,050",550,-1.64%,"5,000","44,104","133,446",21.34,"406,481",2.55,8.54,
72,유한양행,"57,800",0,0.00%,"1,000","42,328","73,231",19.06,"101,544",43.92,5.45,
73,DB손해보험,"59,500","1,700",-2.78%,500,"42,126","70,800",43.13,"101,142",4.52,13.38,
74,HD현대,"53,200",200,+0.38%,"1,000","42,024","78,993",16.03,"112,156",78.58,-1.99,
75,한국타이어앤테크놀로지,"32,700",350,-1.06%,500,"40,507","123,875",35.98,"166,468",7.72,7.69,
76,미래에셋증권,"6,480",0,0.00%,"5,000","39,872","615,316",13.30,"444,759",4.84,11.66,
77,오리온,"100,500","3,000",-2.90%,500,"39,734","39,536",36.04,"161,722",15.11,12.75,
78,한진칼,"57,500",300,-0.52%,"2,500","38,388","66,761",14.56,"35,390",20.25,1.11,
79,메리츠화재,"32,850",350,-1.05%,500,"38,369","116,802",11.60,"171,277",5.33,26.12,
80,삼성엔지니어링,"19,350",200,-1.02%,"5,000","37,926","196,000",39.97,"547,492",10.02,20.67,
81,한미약품,"305,000","1,500",-0.49%,"2,500","37,570","12,318",14.10,"15,913",55.66,8.75,
82,금호석유,"124,000","1,000",-0.80%,"5,000","37,567","30,296",19.97,"59,873",2.23,47.76,
83,GS,"40,150",650,-1.59%,"5,000","37,306","92,915",22.86,"140,578",2.48,15.55,
84,롯데지주,"35,300",550,+1.58%,200,"37,033","104,909",7.89,"88,311",12.88,4.61,
85,TIGER 차이나전기차SOLACTIVE,"16,530",170,-1.02%,0,"35,850","216,880",0.47,"6,268,491",N/A,N/A,
86,삼성카드,"30,700",150,-0.49%,"5,000","35,569","115,859",6.83,"64,701",6.20,7.53,
87,한국금융지주,"62,500",500,-0.79%,"5,000","34,829","55,726",34.10,"115,589",2.31,27.12,
88,현대미포조선,"86,500",100,+0.12%,"5,000","34,550","39,942",13.89,"191,488",-15.11,-7.11,
89,현대차2우B,"94,000",900,+0.97%,"5,000","34,296","36,485",60.26,"69,512",5.01,N/A,
90,현대오토에버,"124,500","2,000",+1.63%,500,"34,143","27,424",1.79,"45,134",43.56,7.26,
91,일진머티리얼즈,"71,800",100,-0.14%,500,"33,108","46,111",10.36,"375,145",46.50,7.85,
92,한국가스공사,"35,500","1,250",-3.40%,"5,000","32,771","92,313",10.88,"436,385",2.80,11.63,
93,메리츠금융지주,"25,100",300,-1.18%,500,"32,338","128,838",7.29,"76,407",3.55,22.33,
